Location Name,Title,Text,Rating,Year,Month,Day
08,What a let down,"Staff very friendly and helpful.We had a suite although plenty of room the
furniture was a  throw back to better times,all this dark woods need to be replaced.
Bathroom show was poor , shower head was not suited for shower.2 small shelves which could only hold small items.
Breakfast was very basic orange juice etc made from concentrate.Coffee supplied was vile.
Toilet down by bar area waste paper had to be put in a bin this is 2024.
Price We paid was really over priced.
If  Hotel was updated it could be  sold  as a Boutique Hotel.
Porto Rotondo  is lovely and celebrating 60 years as the resort was built  in 1964.
Looks like the Hotel never moved on from that year.",3,2024,09,18
08,"Superb experience, like home away from home...","We came for a weeklong stay to celebrate my wife's birthday and the San Marco hotel helped make it extra special, including the great location, clean rooms, full buffet breakfast at a very reasonable price and above all the extremely friendly staff, particular recognition to Laura and Marta who went out of their way to make the birthday a success. Thank you!  
Improvement opportunity is WIFI service and TV satellite signal.",5,2022,06,07
08,5 stars service ,"So happy about this Hotel. Very good location, great breakfast, and customer service. Thank you to Laura and Marta : you were amazing staff, very helpful and professional.  Definitely I will back and recommend it to everyone . 
I had 5 stars service ",5,2022,06,04
08,2 ** hotel  at the upmost !,"I cant believe this place has a 4 stars rating. It’s an old style hotel, furniture was not renewed probably since the 70’s, and the dust comes with the room for free. Bathroom was not clean at all, and just ignore the breakfast (good stuff is available just a few meters away on the plazza…).
Nevertheless good location and nice employees…
But dont expect anything else than a 2* hotel…",1,2021,06,23
08,Amazing hotel with excellent hospitality,"I had an amazing experience at the hotel. 
Perfect location. The service was exceptional and the staff was very hospitable. They also were able to recommend places based on our needs.
 I would definitely  send a friend there.
The property was clean and charming. I relaxed few hours at the swimming pool and really enjoy my staycation.",5,2021,06,19
08,So good we extended our stay! ,"We booked this hotel for 4 nights in September as part of a two week trip to Sardinia, we loved it so stayed for 5! To start, the receptionists Marta and Laura we’re amazing, so welcoming, friendly and helpful for the whole stay. They really made an effort to make sure we had everything we needed and they kindly upgraded our room to a slightly bigger one as we’d booked directly on their website. The hotel is beautiful and has classic Italian styled rooms, with a great bathroom and shower which was all cleaned daily by a friendly lady. The pool area is lovely and gets sun right into the evening. The breakfast was plentiful with everything we wanted, and served by a lady called Nadia who was very smiley and welcoming. We had breakfast each day on the square that the hotel backs on to, with a view of the marina - it was very pretty. The town of Porto rotondo was beautiful and actually a good size for a 3/4 night stay and the hotel is right in the middle of it all. There were good restaurants nearby and you also got 10% off at a few due to staying at this hotel. The stay also includes beach towels which we didn’t realise, but was very helpful as we’d forgotten ours. We will definitely be returning for a long weekend next year!! ",5,2020,09,14
08,Perfect Hotel for Relaxing Holiday,"Stayed at the San Marco for a week. The hotel is perfect as a base to explore from or just for some quiet time to relax and unwind. The staff are brilliant and really helpful, special mention to the ladies on reception and bar / breakfast service. The breakfast is buffet style with some hot food options and usual pastries, cold cuts and fresh fruit. Really good quality. The rooms are spacious enough but you can hear your fellow guests so bear in mind if going in busy season. Overall, a really good hotel and value for money.",5,2019,09,19
08,Excellent hotel,"This a great little bed &breakfast hotel with excellent staff . However this area is not cheap so if your travelling from the UK you will need to take extra spending money as the local restaurants are expensive. The food is good but their menus are all the same . Bread is charged at 6 euros per person. Side orders are 6 euros and not really good value for money e.g ordered grilled veg and got 2 slices of aubergine, 3 thin slices of courgette and a couple of pieces of pepper.Dont expect big portions unless its pizza.There is a small cafe by this hotel which is great for lunch and the cheapest place we found to eat . ",5,2019,09,19
08,Epicure40,"This was our first visit to Sardinia and we were delighted with stay at Colonna San Marco. The hotel is central located. The style of the hotel is simple but refined.
The front desk staff were knowledgable and most helpful. All in all the ambience was
very pleasant.",4,2019,09,10
08,Mrs,"Just coming to the end of a fantastic week at this hotel. Everything has been excellent, clean comfortable rooms, wonderful buffet breakfast. Staff throughout were amazing nothing was too much trouble. Fantastic location for everything. Free car park provided, very short walking distance. Would definitely return to this hotel. ",5,2019,09,02
08,Excellent hotel,"We stayed there 4 days and enjoyed the comfort, location and excellent and friendly staff. Breakfast food and service was excellent. The location of the hotel, almost on the marina, was perfect. rooms were clean and good size.",5,2019,08,06
08,Wonderful stay.,"The staff at this hotel were exceptional. When my husband was unwell their assistance was invaluable. The location is excellent. Short walks to great restaurants wine bars and beautiful boutiques. the room was quiet, the bed comfortable and the bathroom spotless.",5,2019,07,08
08,A nice hotel with good service 👍,"A beautiful hotel in a beautiful town with good atmosphere. Walk around  the hotel you find a Church, the shops, Bar and flowers... you find a sand- Stone beach in 5-10 min too... anyway this place in Sardinia will make your holiday wonderful and you will not go home. ",5,2019,06,02
08,Charming,"An authentic feeling Italian style hotel sat on a very popular plaza.  Pleasant lounge area, white sofas piped bright blue and a doorway leading onto a terrace cafe overlooking the square.  Small restful pool. 
Bedrooms are dark wooden furniture, loads of cupboard space and a Juliette balcony with views over the swanky marina.
Staff are delightful",4,2018,09,20
08,"Charming, comfortable hotel in excellent location with brilliant helpful receptions","A really lovely hotel.  Good value, very comfortable, excellent location literally a minute from the harbour, and above all the most friendly and helpful reception staff you will ever meet (thank you Laura and Marta).  Very good and plentiful breakfasts, a lovely pool, all staff so kind and attentive, also a good car park just a few minutes walk which is safe and free accessed by use of a remote control but with a small parking area right in front of the hotel for when you arrive/depart with your bags. They accommodated our request for an extra bed in our room at a week's notice from arrival professionally and economically.  Room ready despite our early arrival which meant a lot.",5,2018,09,20
08,"Beautiful hotel, fantastic service",Staff were very helpful with booking taxis and accommodating us. Great location in Porto Rotondo. Somewhat dated bathroom (attached shower head) but otherwise comfortable. Very good breakfast including local food stuffs.,5,2018,09,16
08,"4 star service, 3 star room","This hotel states its a 4 star property, which is certainly true for the service it offers and its location. Great staff and great breakfast. However, the rooms are 80-90's all the way. Small rooms which are clean but have not been upgraded in a long time. Uncomfortable bed and bedding, small TV which did not work and simple amenities. Certainly not a 4 star rating when compared to North American standards. It may have been in the past but in today's standards, its past due on the rooms.",3,2018,08,04
08,Book it,"Best hotel to stay in for the area, just book it and stop thinking about it. I have no regrets about staying there. The hotel is very central.I would have no hesitation in staying there again. There is parking inside the grounds of the hotel.",4,2018,08,01
